ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,SCORE
75,12800,200,1,1,100,1,598437.5,55.34351145038168,6428.017241379311,-2851.4957264957266,262,2.2542615728478963,1.9850319263620533
75,12800,150,1,1,100,1,597075.0,48.854961832061065,6999.70703125,-2230.503731343284,262,3.1381731995734183,1.9805124803051664
75,12800,75,1,1,100,1,593625.0,34.33962264150943,9010.302197802195,-1300.646551724138,265,6.927556287953967,1.969068745335434
75,12800,100,1,1,100,1,592000.0,38.86792452830189,8214.805825242718,-1568.6728395061727,265,5.236787186185225,1.9636785803134589
75,12800,175,1,1,100,1,591875.0,51.908396946564885,6718.198529411765,-2553.968253968254,262,2.630494141410449,1.9632639522348454
75,12800,50,1,1,100,1,586750.0,25.563909774436087,11374.264705882351,-942.929292929293,266,12.06269101105895,1.9462642010116926
100,12800,175,1,1,100,1,582387.5,56.00000000000001,5478.497023809524,-2560.6060606060605,300,2.139531382079459,1.931793681068082
75,12800,125,1,1,100,1,579800.0,43.18181818181818,7628.728070175439,-1932.5,264,3.947595379133474,1.9232108798407828
100,12800,150,1,1,100,1,574137.5,51.33333333333333,5823.457792207792,-2210.1027397260277,300,2.634926280816108,1.904428227879592
100,12800,200,1,1,100,1,569812.5,57.99999999999999,5357.327586206897,-2875.8928571428573,300,1.8628397691871232,1.8900820963595655
100,12800,75,1,1,100,1,566975.0,34.7682119205298,7761.190476190476,-1258.6294416243654,302,6.16638243117372,1.8806700389750395
100,12800,125,1,1,100,1,561525.0,45.84717607973422,6306.43115942029,-1894.2484662576687,301,3.329252350870029,1.8625922547474916
100,12800,100,1,1,100,1,560975.0,40.06622516556291,6958.05785123967,-1552.2099447513813,302,4.482678309572451,1.8607678912015921
50,12800,50,1,1,100,1,456687.5,26.58227848101265,9916.07142857143,-965.66091954023,237,10.26868875805046,1.5148436852143627
50,12800,175,1,1,100,1,453600.0,50.0,6447.008547008547,-2570.08547008547,234,2.508480212836714,1.5046023716726096
50,12800,100,1,1,100,1,451925.0,37.55274261603376,7708.146067415731,-1581.7567567567569,237,4.873155138733567,1.499046355419189
50,12800,75,1,1,100,1,445725.0,32.06751054852321,8612.5,-1297.0496894409937,237,6.640069436130732,1.4784808027199603
50,12800,150,1,1,100,1,445500.0,45.72649572649573,6820.210280373832,-2238.287401574803,234,3.047066375647427,1.477734472178456
50,12800,125,1,1,100,1,444700.0,41.94915254237288,7177.020202020202,-1940.3284671532847,236,3.698868683068815,1.4750808524753296
50,12800,200,1,1,100,1,443650.0,52.13675213675214,6280.5327868852455,-2880.1339285714284,234,2.180639144791592,1.4715979766149763
75,3200,200,1,1,100,1,389787.5,55.84905660377358,4887.9222972972975,-2851.4957264957266,265,1.7141608356201836,1.2929347375404263
75,3200,150,1,1,100,1,388425.0,49.43396226415094,5246.660305343511,-2230.503731343284,265,2.3522311268153757,1.2884152914835392
75,3200,175,1,1,100,1,383225.0,52.45283018867924,5072.122302158274,-2553.968253968254,265,1.985977035649293,1.2711667634132184
100,3200,175,1,1,100,1,374412.5,56.43564356435643,4166.1549707602335,-2560.6060606060605,303,1.6270191010069552,1.2419354838709677
75,3200,125,1,1,100,1,371150.0,43.82022471910113,5649.786324786325,-1932.5,267,2.923563428091242,1.2311136910191558
100,3200,150,1,1,100,1,366162.5,51.81518151815182,4387.5,-2210.1027397260277,303,1.985201828465174,1.2145700306824778
100,3200,200,1,1,100,1,361837.5,58.415841584158414,4091.5254237288136,-2875.8928571428573,303,1.4226974463136512,1.2002238991624512
75,6400,200,1,1,100,1,358562.5,55.51330798479087,4741.010273972603,-2851.4957264957266,263,1.6626397963425836,1.189360643502778
75,6400,150,1,1,100,1,357200.0,49.04942965779468,5085.949612403101,-2230.503731343284,263,2.28017982706542,1.184841197445891
75,6400,75,1,1,100,1,353750.0,34.58646616541353,6305.027173913043,-1300.646551724138,266,4.847609956413674,1.173397462476159
100,3200,125,1,1,100,1,353550.0,46.381578947368425,4697.251773049646,-1894.2484662576687,304,2.479744266247009,1.1727340575503773
75,6400,100,1,1,100,1,352125.0,39.097744360902254,5829.326923076923,-1568.6728395061727,266,3.716088387755874,1.1680072974541835
75,6400,175,1,1,100,1,352000.0,52.09125475285171,4918.248175182482,-2553.968253968254,263,1.925727998983818,1.16759266937557
75,3200,75,1,1,100,1,344937.5,34.831460674157306,6142.4731182795695,-1300.646551724138,267,4.722630533358277,1.1441661829339083
75,3200,100,1,1,100,1,343312.5,39.325842696629216,5689.880952380952,-1568.6728395061727,267,3.62719415360832,1.138776017911933
