ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK
10,10,10,1,1,10,1,5287.5,26.107226107226104,500.78125,-189.98422712933754,858,2.635909609796596
10,10,10,1,2,10,1,3100.0,26.004728132387704,495.90909090909093,-192.41214057507986,846,2.5773274463187295
10,10,10,1,5,10,1,4800.0,25.628140703517587,495.95588235294116,-192.4831081081081,796,2.5766202926980357
10,10,10,1,10,10,1,7512.5,27.13864306784661,488.85869565217394,-199.69635627530366,678,2.4480100927741906
10,10,10,2,1,10,1,5287.5,26.107226107226104,500.78125,-189.98422712933754,858,2.635909609796596
10,10,10,2,2,10,1,3100.0,26.004728132387704,495.90909090909093,-192.41214057507986,846,2.5773274463187295
10,10,10,2,5,10,1,4800.0,25.628140703517587,495.95588235294116,-192.4831081081081,796,2.5766202926980357
10,10,10,2,10,10,1,7512.5,27.13864306784661,488.85869565217394,-199.69635627530366,678,2.4480100927741906
10,10,25,1,1,10,1,-1550.0,29.13752913752914,487.6,-221.34046052631578,858,2.2029411109047
10,10,25,1,2,10,1,-3737.5,29.078014184397162,483.0284552845528,-224.29166666666666,846,2.1535729011386344
10,10,25,1,5,10,1,-3300.0,28.391959798994975,483.96017699115043,-226.18421052631578,796,2.1396726847776284
10,10,25,1,10,10,1,-312.5,29.49852507374631,479.5,-236.40167364016736,678,2.0283274336283186
10,10,25,2,1,10,1,-1550.0,29.13752913752914,487.6,-221.34046052631578,858,2.2029411109047
10,10,25,2,2,10,1,-3737.5,29.078014184397162,483.0284552845528,-224.29166666666666,846,2.1535729011386344
10,10,25,2,5,10,1,-3300.0,28.391959798994975,483.96017699115043,-226.18421052631578,796,2.1396726847776284
10,10,25,2,10,10,1,-312.5,29.49852507374631,479.5,-236.40167364016736,678,2.0283274336283186
10,10,50,1,1,10,1,-1975.0,32.400932400932405,476.43884892086334,-267.88793103448273,858,1.7785006106136816
10,10,50,1,2,10,1,-5750.0,32.38770685579196,472.1715328467153,-271.63461538461536,846,1.7382598023383504
10,10,50,1,5,10,1,-6525.0,31.909547738693465,472.1456692913386,-276.0608856088561,796,1.710295423598366
10,10,50,1,10,10,1,-2087.5,33.03834808259587,456.25,-286.2885462555066,678,1.5936718599730717
10,10,50,2,1,10,1,-1975.0,32.400932400932405,476.43884892086334,-267.88793103448273,858,1.7785006106136816
10,10,50,2,2,10,1,-5750.0,32.38770685579196,472.1715328467153,-271.63461538461536,846,1.7382598023383504
10,10,50,2,5,10,1,-6525.0,31.909547738693465,472.1456692913386,-276.0608856088561,796,1.710295423598366
10,10,50,2,10,10,1,-2087.5,33.03834808259587,456.25,-286.2885462555066,678,1.5936718599730717
10,10,75,1,1,10,1,-3912.5,35.8974358974359,465.34090909090907,-285.77272727272725,858,1.6283601081596946
10,10,75,1,2,10,1,-6975.0,35.9338061465721,461.3486842105263,-289.9907749077491,846,1.5909081396030238
10,10,75,1,5,10,1,-8537.5,35.427135678391956,462.4113475177305,-297.13035019455253,796,1.556257538871262
10,10,75,1,10,10,1,-4425.0,36.283185840707965,453.3536585365854,-309.2013888888889,678,1.4662083510223085
