LOTS_PER_TRADE,ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,REWARD_TO_RISK,SCORE
1,50,200,125,1,1,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,100,2,10,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,125,1,2,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,100,2,1,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,100,2,5,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,125,2,2,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,125,2,10,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,125,2,5,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,125,1,5,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,125,1,10,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,100,1,2,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,100,1,5,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,150,1,1,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,100,1,10,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,75,1,1,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,125,2,1,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,100,1,1,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,75,2,10,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,75,2,1,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,100,2,2,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,75,2,2,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,75,2,5,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,75,1,5,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,75,1,2,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,175,2,1,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,175,1,5,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,200,1,5,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,175,1,2,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,175,2,5,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,175,2,10,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,200,1,1,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,175,2,2,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,200,2,10,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,200,2,1,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,175,1,10,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,200,1,2,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,200,1,10,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,200,2,2,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
1,50,200,200,2,5,10,9112.5,100.0,3037.5,0.0,9999.0,91166.00358454022
