ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,SCORE
100,1600,50,2,1,100,1,105787.5,17.74647887323944,6034.325396825397,-939.640410958904,355,6.4219517662797845,0.3508997429305913
100,1600,100,2,1,100,1,85887.5,24.225352112676056,5814.389534883721,-1539.5910780669144,355,3.7765804295152026,0.28489095281532467
75,1600,200,1,2,100,1,84887.5,52.0,3684.294871794872,-2812.3263888888887,150,1.310052377402214,0.2815739281864168
75,1600,10,1,2,100,1,82000.0,18.666666666666668,4645.982142857143,-394.15983606557376,150,11.787051134464704,0.27199601957044534
100,1600,10,1,2,100,1,81850.0,13.548387096774196,6261.9047619047615,-370.5223880597015,155,16.900206205342155,0.27149846587610915
100,1600,75,2,1,100,1,80762.5,20.84507042253521,5809.290540540541,-1242.4377224199288,355,4.675719704667073,0.26789120159217183
100,1600,175,1,2,100,1,80525.0,49.67741935483871,3433.279220779221,-2356.891025641026,155,1.4566983298879674,0.2671034082428062
75,1600,50,2,1,100,1,78425.0,17.419354838709676,5770.833333333333,-910.9375,310,6.335048599199542,0.2601376565220997
75,1600,25,1,1,100,1,77687.5,21.61290322580645,3400.0,-617.7469135802469,310,5.503872095928054,0.2576913508582801
75,1600,10,1,1,100,1,76112.5,17.741935483870968,3394.5454545454545,-433.6764705882353,310,7.827368291254354,0.25246703706775026
75,800,50,2,1,100,1,72600.0,17.419354838709676,5662.962962962963,-910.9375,310,6.216631726065688,0.24081598805871132
100,800,50,2,1,100,1,71025.0,17.74647887323944,5482.539682539683,-939.640410958904,355,5.834721047112847,0.23559167426818145
75,1600,25,1,2,100,1,69762.5,21.333333333333336,4314.84375,-578.9194915254237,150,7.453270814272644,0.23140393067418524
100,1600,25,1,2,100,1,68000.0,18.70967741935484,4964.6551724137935,-602.9761904761905,155,8.233584096401948,0.22555767476573513
75,1600,50,1,1,100,1,67862.5,28.064516129032256,3063.2183908045977,-890.7511210762332,310,3.438916121827073,0.2251015838792603
75,1600,10,2,2,100,1,66487.5,12.0,6853.472222222223,-430.8712121212121,150,15.906080586080586,0.220540675014512
75,800,10,1,2,100,1,65737.5,18.666666666666668,4065.178571428572,-394.15983606557376,150,10.31352816666048,0.21805290654283108
75,1600,10,2,1,100,1,64850.0,10.32258064516129,5871.09375,-442.5359712230216,310,13.26692999390368,0.21510904718467536
75,800,10,2,2,100,1,64412.5,12.0,6738.194444444444,-430.8712121212121,150,15.638534798534796,0.21365784890952816
100,1600,75,1,2,100,1,63837.5,33.5483870967742,3550.0,-1172.4514563106795,155,3.027843908498085,0.21175055974790613
75,400,50,2,1,100,1,63500.0,17.741935483870968,5362.272727272727,-907.5490196078432,310,5.908521315564634,0.21063106393564973
100,1600,50,1,2,100,1,63337.5,26.451612903225808,4013.7195121951218,-887.938596491228,155,4.520266973477342,0.2100920474334522
100,1600,200,1,2,100,1,62875.0,50.967741935483865,3393.037974683544,-2699.6710526315787,155,1.2568338543972188,0.2085579235425823
75,800,10,2,1,100,1,62775.0,10.32258064516129,5806.25,-442.5359712230216,310,13.120402357244462,0.20822622107969152
100,1600,175,2,1,100,1,61725.0,31.83098591549296,5805.973451327433,-2455.99173553719,355,2.364003659832151,0.20474334521933826
25,1600,150,1,2,100,1,61100.0,40.14598540145985,4360.454545454545,-2179.5731707317077,137,2.000600211091189,0.20267020482627082
100,400,50,2,1,100,1,60875.0,17.74647887323944,5321.428571428572,-939.640410958904,355,5.663260657338106,0.20192387428476657
25,1600,150,2,2,100,1,60537.5,28.46715328467153,6932.051282051282,-2140.9438775510203,137,3.237848200850882,0.20080437847251015
25,1600,200,1,2,100,1,60475.0,47.44525547445255,4117.692307692308,-2877.430555555556,137,1.4310309938643473,0.2005970644332034
25,1600,125,1,2,100,1,60150.0,35.03649635036496,4610.677083333333,-1810.814606741573,137,2.5461894697381005,0.19951903142880836
75,800,10,1,1,100,1,59850.0,17.741935483870968,3098.8636363636365,-433.6764705882353,310,7.145565522981596,0.198523924040136
75,1600,50,1,2,100,1,59462.5,26.0,3897.75641025641,-833.7837837837837,150,4.674780783775922,0.1972385769964342
75,400,10,2,1,100,1,58237.5,10.64516129032258,5483.712121212121,-443.0505415162455,310,12.377170564887004,0.19317522182602206
75,400,10,1,1,100,1,57837.5,17.741935483870968,3062.2727272727275,-433.6764705882353,310,7.061191775332162,0.1918484119744589
25,1600,175,2,2,100,1,56575.0,31.38686131386861,6794.476744186047,-2506.25,137,2.7110131647625124,0.18766066838046272
