ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,MAX_CONSECUTIVE_LOSE,SCORE
5,35,100,10,1,10,1,51620.89804999964,78.28162291169451,547.1396144817063,-1404.8450054945058,419,0.3894661776507601,4,0.17122779019819104
5,25,100,10,1,10,1,47040.29089999961,83.29355608591885,421.8595866762166,-1431.2672121428564,419,0.2947455115978094,4,0.15603380346628942
10,35,100,10,1,10,1,42175.36870000013,77.06855791962175,547.7482964723935,-1406.088411855671,423,0.3895546623199235,4,0.1398967367111705
10,25,100,10,1,10,1,41942.57175000001,82.50591016548464,423.209009025788,-1429.1536810810817,423,0.2961256124013563,2,0.13912454349448547
10,15,100,10,1,10,1,41537.30769999958,88.17966903073287,307.8202981233235,-1465.5932700000003,423,0.2100311897060794,2,0.1377802726594231
5,15,100,10,1,10,1,33791.47224999961,87.3508353221957,302.56338032786743,-1451.8249990566026,419,0.2084021011654114,4,0.11208714570030555
5,25,75,10,1,10,1,32284.111699999536,77.32696897374701,423.5484675925917,-1104.6904400000012,419,0.3834091907164429,4,0.10708719363131117
10,10,100,10,1,10,1,32111.37084999965,90.0709219858156,248.40313188976288,-1488.81481904762,423,0.1668462247364409,2,0.10651420797744307
10,25,75,10,1,10,1,30755.01894999991,77.06855791962175,425.37923573619656,-1112.5630092783529,423,0.3823417030664289,4,0.10201515531967795
5,35,75,10,1,10,1,30673.965449999676,71.1217183770883,544.8077166107378,-1088.2540008264475,419,0.5006255122397868,5,0.10174629886391799
10,15,75,10,1,10,1,29050.138599999616,83.451536643026,308.83201628895114,-1142.3937592857158,423,0.2703376255154344,3,0.09636002520938591
5,10,100,10,1,10,1,25833.243849999944,89.49880668257757,242.11759346666645,-1476.383038636364,419,0.1639937517097827,3,0.08568950609503258
10,15,50,10,1,10,1,25777.934499999457,77.54137115839244,309.45593749999927,-797.0906631578986,423,0.3882317931990354,3,0.08550604361887207
10,10,75,10,1,10,1,25395.12954999977,86.7612293144208,247.35220831062608,-1167.555908928572,423,0.2118547012773145,3,0.08423627017165526
10,35,100,10,2,10,1,24686.66280000018,78.28054298642535,565.0774078034697,-1522.3276822916685,221,0.3711930186757284,3,0.0818862685131443
5,35,50,10,1,10,1,24234.737099999664,62.76849642004774,548.583063878327,-769.5039019230792,419,0.7129048501344237,5,0.08038721983580617
10,35,75,10,1,10,1,24060.49445000018,70.2127659574468,546.2825080808096,-1096.7096067460336,423,0.4981104430202305,5,0.07980925267435171
10,25,100,10,2,10,1,23887.07875000026,83.710407239819,435.32989324324495,-1573.581986111113,221,0.2766490065885297,2,0.07923402852641266
5,35,100,10,2,10,1,23598.30004999997,77.88018433179722,569.1212207100597,-1512.1497135416694,217,0.3763656571921684,3,0.0782761424662077
10,10,50,10,1,10,1,23416.8710499996,82.03309692671394,247.78827074927904,-823.2323539473714,423,0.300994329925376,3,0.07767433800480836
10,25,50,10,1,10,1,22908.608249999816,68.79432624113475,428.20549037800754,-770.4484049242454,423,0.5557873669945633,4,0.0759884177792514
5,25,50,10,1,10,1,22616.23664999952,69.21241050119332,425.42496603448234,-781.0620426356611,419,0.5446749973906089,5,0.07501861398125721
5,15,75,10,1,10,1,22555.679649999503,82.57756563245823,303.1584456647386,-1127.906062328769,419,0.2687798707622977,4,0.0748177449208044
10,15,100,10,2,10,1,22133.683350000185,89.14027149321268,318.18067690355446,-1689.496250000002,221,0.1883287263310315,2,0.07341797280039866
25,25,100,10,2,10,1,21206.78260000009,81.33333333333333,463.9902931693993,-1516.7485964285725,225,0.3059111406214179,3,0.07034342018409516
5,10,75,10,1,10,1,19116.456649999873,85.91885441527445,242.0083752777777,-1152.6535330508502,419,0.2099576050725567,3,0.06340975752549921
25,35,100,10,2,10,1,18985.100800000153,75.55555555555556,594.4047558823543,-1492.0674127272744,225,0.3983766087323574,3,0.062974046935899
5,25,100,10,2,10,1,18361.840500000064,82.02764976958525,444.0207761235956,-1555.73993974359,217,0.2854080973178441,2,0.060906677170578204
5,15,50,10,1,10,1,17923.04954999932,76.13365155131265,304.9779708463936,-793.6492315000025,419,0.3842729996348426,5,0.05945119678248385
5,10,50,10,1,10,1,16607.383249999828,80.90692124105013,242.33152035398223,-819.2875268750028,419,0.2957832414199006,3,0.055087099261961446
10,10,100,10,2,10,1,16507.779500000244,90.49773755656108,264.04839200000134,-1728.6618523809552,221,0.152747277691306,2,0.05475671117008125
10,25,75,10,2,10,1,16363.957100000263,78.28054298642535,437.630808670523,-1236.3786000000048,221,0.3539618112692352,3,0.05427964872709267
10,35,50,10,1,10,1,16264.084450000097,60.99290780141844,549.494177519382,-760.6388687878813,423,0.7224113834664146,5,0.05394836868728782
