ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,MAX_CONSECUTIVE_LOSE
5,10,50,10,1,10,1,4718.038999999953,79.29292929292929,210.43738487261123,-748.2841445121948,396,0.28122657203941565,3
5,10,50,10,2,10,1,2427.152900000192,79.71014492753623,215.65112454545576,-789.4114916666668,207,0.27317961142186614,3
5,10,75,10,1,10,1,4278.343999999812,84.34343434343434,210.55345449101773,-1065.266287096776,396,0.19765335394669223,3
5,10,75,10,2,10,1,5216.3540000000685,85.5072463768116,214.99646723163931,-1094.6006900000034,207,0.19641543185180949,3
5,10,100,10,1,10,1,10108.913399999823,88.13131313131312,212.18031561604565,-1360.4684414893638,396,0.15596121831665763,3
5,10,100,10,2,10,1,7916.01695000013,88.88888888888889,216.6767671195661,-1389.2394869565233,207,0.15596790125383694,3
5,15,50,10,1,10,1,6548.972749999484,74.24242424242425,277.8317977891137,-736.6036843137252,396,0.37717948430839365,4
5,15,50,10,2,10,1,114.28840000005493,73.42995169082126,280.06476184210544,-771.9191890909087,207,0.3628161675471994,4
5,15,75,10,1,10,1,7874.839149999523,80.8080808080808,276.04775609374883,-1058.690036842107,396,0.2607446433680934,3
5,15,75,10,2,10,1,1868.0843000000332,80.19323671497585,278.54447048192856,-1082.2023853658566,207,0.2573866720759093,4
5,15,100,10,1,10,1,16572.44319999963,85.60606060606061,278.0682839233029,-1363.0299131578954,396,0.20400746985740661,3
5,15,100,10,2,10,1,6354.930500000182,85.02415458937197,280.35591306818264,-1386.700329032257,207,0.2021748370564215,4
5,25,50,10,1,10,1,9102.797849999843,66.66666666666666,397.3521178030298,-725.7436458333334,396,0.54751029524588,5
5,25,50,10,2,10,1,4348.6674999999195,67.14975845410628,401.46231438848883,-756.6852088235298,207,0.5305539340628446,4
5,25,75,10,1,10,1,10189.9007499996,74.24242424242425,396.89306666666596,-1044.0849102941193,396,0.3801348556554284,5
5,25,75,10,2,10,1,6243.887399999767,74.8792270531401,399.019218387096,-1069.309450961541,207,0.3731559821418311,4
5,25,100,10,1,10,1,19101.22054999973,80.05050505050505,397.84124053627687,-1354.613325316456,396,0.2936935825899511,5
