ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,MAX_CONSECUTIVE_LOSE,SCORE
75,800,50,2,1,10,1,77287.5,17.419354838709676,5749.768518518518,-910.9375,310,6.311924274188425,22,0.25636454100671696
75,800,10,1,1,10,1,75312.5,17.741935483870968,3380.0,-433.6764705882353,310,7.793828416412343,23,0.24981341736462392
75,6400,10,1,1,10,1,75062.5,17.741935483870968,3375.454545454545,-433.6764705882353,310,7.7833472055242146,23,0.24898416120739697
75,3200,10,1,1,10,1,75062.5,17.741935483870968,3375.454545454545,-433.6764705882353,310,7.7833472055242146,23,0.24898416120739697
75,12800,10,1,1,10,1,75062.5,17.741935483870968,3375.454545454545,-433.6764705882353,310,7.7833472055242146,23,0.24898416120739697
75,1600,10,1,1,10,1,75062.5,17.741935483870968,3375.454545454545,-433.6764705882353,310,7.7833472055242146,23,0.24898416120739697
75,12800,50,2,1,10,1,72662.5,17.419354838709676,5664.12037037037,-910.9375,310,6.217902293373991,22,0.2410233020980181
75,1600,50,2,1,10,1,72662.5,17.419354838709676,5664.12037037037,-910.9375,310,6.217902293373991,22,0.2410233020980181
75,3200,50,2,1,10,1,72662.5,17.419354838709676,5664.12037037037,-910.9375,310,6.217902293373991,22,0.2410233020980181
75,6400,50,2,1,10,1,72662.5,17.419354838709676,5664.12037037037,-910.9375,310,6.217902293373991,22,0.2410233020980181
75,800,50,1,1,10,1,68800.0,28.064516129032256,3073.9942528735637,-890.7511210762332,310,3.45101362225564,11,0.22821129446886143
100,800,50,2,1,10,1,67300.0,17.74647887323944,5423.412698412699,-939.640410958904,355,5.771795928697979,24,0.22323575752549962
75,800,25,1,1,10,1,67100.0,21.61290322580645,3241.977611940298,-617.7469135802469,310,5.248067680582847,19,0.22257235259971805
75,800,10,2,1,10,1,63825.0,10.32258064516129,5839.0625,-442.5359712230216,310,13.194548872180452,32,0.21170909694004478
75,1600,50,1,1,10,1,63650.0,28.064516129032256,3014.798850574713,-890.7511210762332,310,3.3845580199013825,11,0.21112861762998592
75,12800,50,1,1,10,1,63650.0,28.064516129032256,3014.798850574713,-890.7511210762332,310,3.3845580199013825,11,0.21112861762998592
75,6400,50,1,1,10,1,63650.0,28.064516129032256,3014.798850574713,-890.7511210762332,310,3.3845580199013825,11,0.21112861762998592
75,3200,50,1,1,10,1,63650.0,28.064516129032256,3014.798850574713,-890.7511210762332,310,3.3845580199013825,11,0.21112861762998592
75,12800,10,2,1,10,1,63575.0,10.32258064516129,5831.25,-442.5359712230216,310,13.176894940052836,32,0.21087984078281782
75,6400,10,2,1,10,1,63575.0,10.32258064516129,5831.25,-442.5359712230216,310,13.176894940052836,32,0.21087984078281782
75,3200,10,2,1,10,1,63575.0,10.32258064516129,5831.25,-442.5359712230216,310,13.176894940052836,32,0.21087984078281782
75,1600,10,2,1,10,1,63575.0,10.32258064516129,5831.25,-442.5359712230216,310,13.176894940052836,32,0.21087984078281782
75,400,50,2,1,10,1,63500.0,17.741935483870968,5362.272727272727,-907.5490196078432,310,5.908521315564634,22,0.21063106393564973
100,6400,50,2,1,10,1,62675.0,17.74647887323944,5350.0,-939.640410958904,355,5.693667425968109,24,0.20789451861680072
100,12800,50,2,1,10,1,62675.0,17.74647887323944,5350.0,-939.640410958904,355,5.693667425968109,24,0.20789451861680072
100,1600,50,2,1,10,1,62675.0,17.74647887323944,5350.0,-939.640410958904,355,5.693667425968109,24,0.20789451861680072
100,3200,50,2,1,10,1,62675.0,17.74647887323944,5350.0,-939.640410958904,355,5.693667425968109,24,0.20789451861680072
75,1600,25,1,1,10,1,61950.0,21.61290322580645,3165.1119402985078,-617.7469135802469,310,5.12363861432284,19,0.2054896757608425
75,6400,25,1,1,10,1,61950.0,21.61290322580645,3165.1119402985078,-617.7469135802469,310,5.12363861432284,19,0.2054896757608425
75,12800,25,1,1,10,1,61950.0,21.61290322580645,3165.1119402985078,-617.7469135802469,310,5.12363861432284,19,0.2054896757608425
75,3200,25,1,1,10,1,61950.0,21.61290322580645,3165.1119402985078,-617.7469135802469,310,5.12363861432284,19,0.2054896757608425
75,400,10,1,1,10,1,61262.5,17.741935483870968,3124.5454545454545,-433.6764705882353,310,7.204784364499522,23,0.20320922132846836
100,400,50,2,1,10,1,60875.0,17.74647887323944,5321.428571428572,-939.640410958904,355,5.663260657338106,24,0.20192387428476657
75,400,10,2,1,10,1,58237.5,10.64516129032258,5483.712121212121,-443.0505415162455,310,12.377170564887004,32,0.19317522182602206
75,800,10,2,2,10,1,57300.0,12.0,6343.055555555556,-430.8712121212121,150,14.721465201465202,25,0.19006551123642093
75,12800,10,2,2,10,1,57050.0,12.0,6329.166666666667,-430.8712121212121,150,14.68923076923077,25,0.18923625507919398
75,3200,10,2,2,10,1,57050.0,12.0,6329.166666666667,-430.8712121212121,150,14.68923076923077,25,0.18923625507919398
75,1600,10,2,2,10,1,57050.0,12.0,6329.166666666667,-430.8712121212121,150,14.68923076923077,25,0.18923625507919398
75,6400,10,2,2,10,1,57050.0,12.0,6329.166666666667,-430.8712121212121,150,14.68923076923077,25,0.18923625507919398
75,400,50,1,1,10,1,55487.5,28.064516129032256,2920.977011494253,-890.7511210762332,310,3.27922911617,11,0.18405340409652543
75,800,10,1,2,10,1,54812.5,18.666666666666668,3675.0,-394.15983606557376,150,9.323628801663634,14,0.1818144124720126
75,1600,10,1,2,10,1,54562.5,18.666666666666668,3666.071428571429,-394.15983606557376,150,9.300976642281556,14,0.18098515631478565
75,6400,10,1,2,10,1,54562.5,18.666666666666668,3666.071428571429,-394.15983606557376,150,9.300976642281556,14,0.18098515631478565
75,3200,10,1,2,10,1,54562.5,18.666666666666668,3666.071428571429,-394.15983606557376,150,9.300976642281556,14,0.18098515631478565
75,12800,10,1,2,10,1,54562.5,18.666666666666668,3666.071428571429,-394.15983606557376,150,9.300976642281556,14,0.18098515631478565
100,800,50,1,1,10,1,54262.5,30.422535211267604,2653.8194444444443,-940.6882591093116,355,2.8211465581139565,11,0.17999004892611328
25,1600,150,2,2,10,1,53925.0,28.46715328467153,6762.5,-2140.9438775510203,137,3.158653559725946,11,0.17887055311385688
25,6400,150,2,2,10,1,52837.5,28.46715328467153,6734.615384615385,-2140.9438775510203,137,3.1456291102403706,11,0.17526328882991957
25,12800,150,2,2,10,1,52837.5,28.46715328467153,6734.615384615385,-2140.9438775510203,137,3.1456291102403706,11,0.17526328882991957
25,3200,150,2,2,10,1,52837.5,28.46715328467153,6734.615384615385,-2140.9438775510203,137,3.1456291102403706,11,0.17526328882991957
100,200,50,2,1,10,1,52737.5,27.323943661971832,3024.4845360824743,-932.703488372093,355,3.24270743466533,22,0.17493158636702877
75,800,25,2,1,10,1,52675.0,12.580645161290322,5739.102564102564,-631.549815498155,310,9.087331550521736,22,0.17472427232772203
75,200,10,1,1,10,1,52350.0,18.064516129032256,2891.964285714286,-431.496062992126,310,6.702180005213765,23,0.17364623932332698
100,800,75,2,1,10,1,51312.5,20.84507042253521,5411.317567567568,-1242.4377224199288,355,4.3554034700651245,24,0.17020482627083505
75,400,25,1,1,10,1,51275.0,21.61290322580645,3005.783582089552,-617.7469135802469,310,4.865720112900399,19,0.17008043784725102
25,1600,175,2,2,10,1,50625.0,31.38686131386861,6656.104651162791,-2506.25,137,2.655802354578669,11,0.1679243718384609
25,1600,200,2,2,10,1,50475.0,33.57664233576642,6729.076086956522,-2846.8406593406594,137,2.3636995856715792,11,0.16742681814412472
25,3200,200,2,2,10,1,50275.0,33.57664233576642,6724.728260869565,-2846.8406593406594,137,2.362172339644412,11,0.16676341321834315
25,12800,200,2,2,10,1,50275.0,33.57664233576642,6724.728260869565,-2846.8406593406594,137,2.362172339644412,11,0.16676341321834315
25,6400,200,2,2,10,1,50275.0,33.57664233576642,6724.728260869565,-2846.8406593406594,137,2.362172339644412,11,0.16676341321834315
75,200,10,2,1,10,1,49850.0,17.096774193548388,3027.830188679245,-430.44747081712063,310,7.034145613474043,23,0.1653536777510573
10,1600,150,2,2,10,1,49812.5,28.24427480916031,6833.445945945946,-2159.840425531915,131,3.163866119536603,10,0.16522928932747324
75,800,200,1,2,10,1,49525.0,52.0,3230.9294871794878,-2812.3263888888887,150,1.1488458451851256,7,0.16427564474666223
25,800,150,2,2,10,1,49487.5,28.46715328467153,6648.717948717948,-2140.9438775510203,137,3.105507817572161,11,0.1641512563230782
25,800,200,2,2,10,1,49312.5,33.57664233576642,6703.804347826087,-2846.8406593406594,137,2.3548224681386687,11,0.1635707770130193
25,6400,175,2,2,10,1,49287.5,31.38686131386861,6625.0,-2506.25,137,2.643391521197008,11,0.16348785139729663
25,12800,175,2,2,10,1,49287.5,31.38686131386861,6625.0,-2506.25,137,2.643391521197008,11,0.16348785139729663
25,3200,175,2,2,10,1,49287.5,31.38686131386861,6625.0,-2506.25,137,2.643391521197008,11,0.16348785139729663
100,6400,50,1,1,10,1,49112.5,30.422535211267604,2606.134259259259,-940.6882591093116,355,2.770454753763878,11,0.16290737208723774
100,3200,50,1,1,10,1,49112.5,30.422535211267604,2606.134259259259,-940.6882591093116,355,2.770454753763878,11,0.16290737208723774
100,1600,50,1,1,10,1,49112.5,30.422535211267604,2606.134259259259,-940.6882591093116,355,2.770454753763878,11,0.16290737208723774
100,12800,50,1,1,10,1,49112.5,30.422535211267604,2606.134259259259,-940.6882591093116,355,2.770454753763878,11,0.16290737208723774
10,3200,150,2,2,10,1,48725.0,28.24427480916031,6804.054054054054,-2159.840425531915,131,3.1502577568333017,10,0.16162202504353596
10,12800,150,2,2,10,1,48725.0,28.24427480916031,6804.054054054054,-2159.840425531915,131,3.1502577568333017,10,0.16162202504353596
10,6400,150,2,2,10,1,48725.0,28.24427480916031,6804.054054054054,-2159.840425531915,131,3.1502577568333017,10,0.16162202504353596
100,800,100,2,1,10,1,48662.5,24.225352112676056,5381.540697674419,-1539.5910780669144,355,3.4954351024373267,19,0.16141471100422922
75,800,25,1,2,10,1,48187.5,21.333333333333336,3640.625,-578.9194915254237,150,6.288655077767612,14,0.15983912430549796
25,800,175,2,2,10,1,48000.0,31.38686131386861,6595.058139534884,-2506.25,137,2.631444644203445,11,0.15921718218757774
100,400,75,2,1,10,1,47575.0,21.12676056338028,5275.833333333333,-1243.258928571429,355,4.243551533867164,24,0.1578074467202919
75,12800,25,2,1,10,1,47525.0,12.580645161290322,5607.051282051282,-631.549815498155,310,8.878240709529052,22,0.15764159548884651
75,6400,25,2,1,10,1,47525.0,12.580645161290322,5607.051282051282,-631.549815498155,310,8.878240709529052,22,0.15764159548884651
75,1600,25,2,1,10,1,47525.0,12.580645161290322,5607.051282051282,-631.549815498155,310,8.878240709529052,22,0.15764159548884651
75,3200,25,2,1,10,1,47525.0,12.580645161290322,5607.051282051282,-631.549815498155,310,8.878240709529052,22,0.15764159548884651
100,1600,75,2,1,10,1,47512.5,20.84507042253521,5359.966216216216,-1242.4377224199288,355,4.314072343019711,24,0.15760013268098516
100,12800,75,2,1,10,1,47512.5,20.84507042253521,5359.966216216216,-1242.4377224199288,355,4.314072343019711,24,0.15760013268098516
100,6400,75,2,1,10,1,47512.5,20.84507042253521,5359.966216216216,-1242.4377224199288,355,4.314072343019711,24,0.15760013268098516
100,3200,75,2,1,10,1,47512.5,20.84507042253521,5359.966216216216,-1242.4377224199288,355,4.314072343019711,24,0.15760013268098516
75,400,25,2,1,10,1,47325.0,12.903225806451612,5417.5,-627.3148148148148,310,8.636014760147601,22,0.15697819056306492
100,3200,100,2,1,10,1,46750.0,24.225352112676056,5359.302325581395,-1539.5910780669144,355,3.480990765619692,19,0.15507090140144292
100,1600,100,2,1,10,1,46750.0,24.225352112676056,5359.302325581395,-1539.5910780669144,355,3.480990765619692,19,0.15507090140144292
100,12800,100,2,1,10,1,46750.0,24.225352112676056,5359.302325581395,-1539.5910780669144,355,3.480990765619692,19,0.15507090140144292
100,6400,100,2,1,10,1,46750.0,24.225352112676056,5359.302325581395,-1539.5910780669144,355,3.480990765619692,19,0.15507090140144292
50,100,200,2,2,10,1,45975.0,70.50359712230215,1639.158163265306,-2796.6463414634145,139,0.5861156410672849,3,0.1525002073140393
50,100,200,1,2,10,1,45975.0,70.50359712230215,1639.158163265306,-2796.6463414634145,139,0.5861156410672849,3,0.1525002073140393
50,75,200,1,2,10,1,45312.5,75.53956834532374,1334.1666666666667,-2787.5,139,0.4786248131539611,2,0.15030267849738785
50,75,200,2,2,10,1,45312.5,75.53956834532374,1334.1666666666667,-2787.5,139,0.4786248131539611,2,0.15030267849738785
25,100,200,1,2,10,1,45125.0,70.07299270072993,1701.4322916666667,-2883.231707317073,137,0.5901129234077052,3,0.1496807363794676
25,100,200,2,2,10,1,45125.0,70.07299270072993,1701.4322916666667,-2883.231707317073,137,0.5901129234077052,3,0.1496807363794676
100,400,100,2,1,10,1,45112.5,24.507042253521128,5257.327586206897,-1538.339552238806,355,3.4175339108688334,19,0.14963927357160628
10,800,150,2,2,10,1,45050.0,28.24427480916031,6704.72972972973,-2159.840425531915,131,3.104270875973868,10,0.14943195953229954
25,800,200,1,2,10,1,44937.5,47.44525547445255,3878.653846153846,-2877.430555555556,137,1.3479574124439575,8,0.1490587942615474
100,400,50,1,1,10,1,44437.5,30.422535211267604,2562.847222222222,-940.6882591093116,355,2.724438407096573,11,0.14740028194709345
25,800,10,2,2,10,1,44362.5,9.48905109489051,7083.653846153846,-384.8790322580645,137,18.404883749042995,24,0.14715150509992536
25,1600,10,2,2,10,1,44112.5,9.48905109489051,7064.423076923077,-384.8790322580645,137,18.354917999758232,24,0.1463222489426984
25,6400,10,2,2,10,1,44112.5,9.48905109489051,7064.423076923077,-384.8790322580645,137,18.354917999758232,24,0.1463222489426984
25,12800,10,2,2,10,1,44112.5,9.48905109489051,7064.423076923077,-384.8790322580645,137,18.354917999758232,24,0.1463222489426984
25,3200,10,2,2,10,1,44112.5,9.48905109489051,7064.423076923077,-384.8790322580645,137,18.354917999758232,24,0.1463222489426984
75,1600,200,2,2,10,1,43087.5,35.333333333333336,6021.698113207547,-2846.005154639175,150,2.115842307380148,8,0.14292229869806783
75,6400,25,1,2,10,1,43037.5,21.333333333333336,3479.6875,-578.9194915254237,150,6.010658737419945,14,0.14275644746662244
75,12800,25,1,2,10,1,43037.5,21.333333333333336,3479.6875,-578.9194915254237,150,6.010658737419945,14,0.14275644746662244
75,1600,25,1,2,10,1,43037.5,21.333333333333336,3479.6875,-578.9194915254237,150,6.010658737419945,14,0.14275644746662244
