ENTRY_OFFSET,TAKE_PROFIT_OFFSET,STOP_LOSS_OFFSET,TRAIL_TRIGGER,RE_ENTRY_DISTANCE,MAX_OPEN_TRADES,MAX_CONTRACTS_PER_TRADE,TOTAL_PNL,WIN_RATE,AVERAGE_WINN,AVERAGE_LOSS,NUM_OF_TRADE,REWARD_TO_RISK,MAX_CONSECUTIVE_LOSE
10,20,75,3,1,10,1,27375.262999999857,79.90543735224587,363.9043764792903,-1124.9931323529433,423,0.3234725315328617,3
10,20,75,3,1,100,1,27375.262999999857,79.90543735224587,363.9043764792903,-1124.9931323529433,423,0.3234725315328617,3
10,20,75,3,2,10,1,8872.783050000135,79.18552036199095,377.6691834285733,-1243.8983489130485,221,0.303617400697244,3
10,20,75,3,2,100,1,8872.783050000135,79.18552036199095,377.6691834285733,-1243.8983489130485,221,0.303617400697244,3
10,20,75,5,1,10,1,27375.262999999857,79.90543735224587,363.9043764792903,-1124.9931323529433,423,0.3234725315328617,3
10,20,75,5,1,100,1,27375.262999999857,79.90543735224587,363.9043764792903,-1124.9931323529433,423,0.3234725315328617,3
10,20,75,5,2,10,1,8872.783050000135,79.18552036199095,377.6691834285733,-1243.8983489130485,221,0.303617400697244,3
10,20,75,5,2,100,1,8872.783050000135,79.18552036199095,377.6691834285733,-1243.8983489130485,221,0.303617400697244,3
10,20,75,7,1,10,1,27375.262999999857,79.90543735224587,363.9043764792903,-1124.9931323529433,423,0.3234725315328617,3
10,20,75,7,1,100,1,27375.262999999857,79.90543735224587,363.9043764792903,-1124.9931323529433,423,0.3234725315328617,3
10,20,75,7,2,10,1,8872.783050000135,79.18552036199095,377.6691834285733,-1243.8983489130485,221,0.303617400697244,3
10,20,75,7,2,100,1,8872.783050000135,79.18552036199095,377.6691834285733,-1243.8983489130485,221,0.303617400697244,3
10,20,75,10,1,10,1,27375.262999999857,79.90543735224587,363.9043764792903,-1124.9931323529433,423,0.3234725315328617,3
10,20,75,10,1,100,1,27375.262999999857,79.90543735224587,363.9043764792903,-1124.9931323529433,423,0.3234725315328617,3
10,20,75,10,2,10,1,8872.783050000135,79.18552036199095,377.6691834285733,-1243.8983489130485,221,0.303617400697244,3
10,20,75,10,2,100,1,8872.783050000135,79.18552036199095,377.6691834285733,-1243.8983489130485,221,0.303617400697244,3
10,20,75,12,1,10,1,27375.262999999857,79.90543735224587,363.9043764792903,-1124.9931323529433,423,0.3234725315328617,3
10,20,75,12,1,100,1,27375.262999999857,79.90543735224587,363.9043764792903,-1124.9931323529433,423,0.3234725315328617,3
10,20,75,12,2,10,1,8872.783050000135,79.18552036199095,377.6691834285733,-1243.8983489130485,221,0.303617400697244,3
10,20,75,12,2,100,1,8872.783050000135,79.18552036199095,377.6691834285733,-1243.8983489130485,221,0.303617400697244,3
10,20,75,15,1,10,1,27375.262999999857,79.90543735224587,363.9043764792903,-1124.9931323529433,423,0.3234725315328617,3
10,20,75,15,1,100,1,27375.262999999857,79.90543735224587,363.9043764792903,-1124.9931323529433,423,0.3234725315328617,3
10,20,75,15,2,10,1,8872.783050000135,79.18552036199095,377.6691834285733,-1243.8983489130485,221,0.303617400697244,3
10,20,75,15,2,100,1,8872.783050000135,79.18552036199095,377.6691834285733,-1243.8983489130485,221,0.303617400697244,3
10,20,100,3,1,10,1,41559.63469999982,85.34278959810875,362.9358343490302,-1442.9064758064526,423,0.2515310870347174,2
10,20,100,3,1,100,1,41559.63469999982,85.34278959810875,362.9358343490302,-1442.9064758064526,423,0.2515310870347174,2
10,20,100,3,2,10,1,16509.25520000008,84.61538461538461,377.2450478609632,-1589.281433823532,221,0.23736830987409063,2
10,20,100,3,2,100,1,16509.25520000008,84.61538461538461,377.2450478609632,-1589.281433823532,221,0.23736830987409063,2
10,20,100,5,1,10,1,41559.63469999982,85.34278959810875,362.9358343490302,-1442.9064758064526,423,0.2515310870347174,2
10,20,100,5,1,100,1,41559.63469999982,85.34278959810875,362.9358343490302,-1442.9064758064526,423,0.2515310870347174,2
10,20,100,5,2,10,1,16509.25520000008,84.61538461538461,377.2450478609632,-1589.281433823532,221,0.23736830987409063,2
10,20,100,5,2,100,1,16509.25520000008,84.61538461538461,377.2450478609632,-1589.281433823532,221,0.23736830987409063,2
10,20,100,7,1,10,1,41559.63469999982,85.34278959810875,362.9358343490302,-1442.9064758064526,423,0.2515310870347174,2
10,20,100,7,1,100,1,41559.63469999982,85.34278959810875,362.9358343490302,-1442.9064758064526,423,0.2515310870347174,2
10,20,100,7,2,10,1,16509.25520000008,84.61538461538461,377.2450478609632,-1589.281433823532,221,0.23736830987409063,2
10,20,100,7,2,100,1,16509.25520000008,84.61538461538461,377.2450478609632,-1589.281433823532,221,0.23736830987409063,2
10,20,100,10,1,10,1,41559.63469999982,85.34278959810875,362.9358343490302,-1442.9064758064526,423,0.2515310870347174,2
10,20,100,10,1,100,1,41559.63469999982,85.34278959810875,362.9358343490302,-1442.9064758064526,423,0.2515310870347174,2
10,20,100,10,2,10,1,16509.25520000008,84.61538461538461,377.2450478609632,-1589.281433823532,221,0.23736830987409063,2
10,20,100,10,2,100,1,16509.25520000008,84.61538461538461,377.2450478609632,-1589.281433823532,221,0.23736830987409063,2
10,20,100,12,1,10,1,41559.63469999982,85.34278959810875,362.9358343490302,-1442.9064758064526,423,0.2515310870347174,2
10,20,100,12,1,100,1,41559.63469999982,85.34278959810875,362.9358343490302,-1442.9064758064526,423,0.2515310870347174,2
10,20,100,12,2,10,1,16509.25520000008,84.61538461538461,377.2450478609632,-1589.281433823532,221,0.23736830987409063,2
10,20,100,12,2,100,1,16509.25520000008,84.61538461538461,377.2450478609632,-1589.281433823532,221,0.23736830987409063,2
10,20,100,15,1,10,1,41559.63469999982,85.34278959810875,362.9358343490302,-1442.9064758064526,423,0.2515310870347174,2
10,20,100,15,1,100,1,41559.63469999982,85.34278959810875,362.9358343490302,-1442.9064758064526,423,0.2515310870347174,2
10,20,100,15,2,10,1,16509.25520000008,84.61538461538461,377.2450478609632,-1589.281433823532,221,0.23736830987409063,2
10,20,100,15,2,100,1,16509.25520000008,84.61538461538461,377.2450478609632,-1589.281433823532,221,0.23736830987409063,2
10,20,125,3,1,10,1,41662.71135,87.47044917257683,361.39989581081073,-1736.8915113207527,423,0.20807280907026715,2
10,20,125,3,1,100,1,41662.71135,87.47044917257683,361.39989581081073,-1736.8915113207527,423,0.20807280907026715,2
10,20,125,3,2,10,1,12631.614800000194,85.97285067873304,376.33110657894804,-1899.0740467741928,221,0.1981655782291333,2
10,20,125,3,2,100,1,12631.614800000194,85.97285067873304,376.33110657894804,-1899.0740467741928,221,0.1981655782291333,2
10,20,125,5,1,10,1,41662.71135,87.47044917257683,361.39989581081073,-1736.8915113207527,423,0.20807280907026715,2
10,20,125,5,1,100,1,41662.71135,87.47044917257683,361.39989581081073,-1736.8915113207527,423,0.20807280907026715,2
10,20,125,5,2,10,1,12631.614800000194,85.97285067873304,376.33110657894804,-1899.0740467741928,221,0.1981655782291333,2
10,20,125,5,2,100,1,12631.614800000194,85.97285067873304,376.33110657894804,-1899.0740467741928,221,0.1981655782291333,2
10,20,125,7,1,10,1,41662.71135,87.47044917257683,361.39989581081073,-1736.8915113207527,423,0.20807280907026715,2
10,20,125,7,1,100,1,41662.71135,87.47044917257683,361.39989581081073,-1736.8915113207527,423,0.20807280907026715,2
10,20,125,7,2,10,1,12631.614800000194,85.97285067873304,376.33110657894804,-1899.0740467741928,221,0.1981655782291333,2
10,20,125,7,2,100,1,12631.614800000194,85.97285067873304,376.33110657894804,-1899.0740467741928,221,0.1981655782291333,2
10,20,125,10,1,10,1,41662.71135,87.47044917257683,361.39989581081073,-1736.8915113207527,423,0.20807280907026715,2
